//1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,97,97,97,0,0,97,97,100
100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,97,97,0,0,0,97,97,100
100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,101,101,97,0,0,0,0,0,97,100
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,101,101,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,101,116,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,101,101,101,0,0,0,0,0,100
0,0,0,0,0,0,20,20,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,101,101,101,101,101,0,0,4,100
0,0,0,0,97,100,100,100,98,98,98,98,98,100,100,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,101,101,101,101,101,101,101,101,97,101,100
0,0,0,0,97,0,0,100,100,100,98,98,100,100,100,0,0,0,0,0,0,0,0,112,112,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,101,101,101,97,0,97
0,0,0,0,97,0,0,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,112,112,112,112,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,101,101,97,0,97
0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,112,112,112,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,97
0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,112,111,112,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,97
0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,112,111,112,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,97
0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,113,111,113,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,97
0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,5,111,5,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,97,0,97
